Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
1362	-8120.632	-8379.917	259.2847	0.8210211	1.543917	0.605852	7.017165
1368	-8114.518	-8372.394	257.8759	0.8091521	1.383719	0.6660398	7.798256
1374	-8112.958	-8371.437	258.4784	0.7564425	1.383719	0.5457338	7.597323
1380	-8102.631	-8359.388	256.7574	0.7920585	1.383719	0.5589395	8.485084
1386	-8104.763	-8363.188	258.4247	0.7647233	1.661307	0.5589395	7.502646
1392	-8106.957	-8365.789	258.8318	0.8302896	1.623501	0.5589395	7.26302
1398	-8124.184	-8383.991	259.8072	0.8578627	1.623501	0.5696979	6.71407
1404	-8123.754	-8382.069	258.3144	0.8792602	1.76418	0.534818	7.48392
1410	-8108.723	-8367.641	258.9183	0.8740106	1.77811	0.5241638	7.166892
1416	-8116.87	-8375.747	258.8768	0.8464227	1.554634	0.5241638	7.28532
1422	-8118.862	-8376.424	257.5623	0.7826491	1.606596	0.5241638	8.003162
1428	-8112.656	-8369.296	256.6406	0.8063387	1.606596	0.5241638	8.481133
1434	-8125.304	-8383.679	258.3752	0.7780847	1.586762	0.4918085	7.607006
1440	-8122.387	-8380.524	258.1367	0.8602148	1.379875	0.5465248	7.725543
1446	-8113.027	-8371.907	258.8802	0.7855151	1.480772	0.5465248	7.32612
1452	-8107.614	-8367.058	259.4445	0.8940748	1.710643	0.5295923	6.891919
1458	-8102.375	-8361.503	259.128	0.8574852	1.586323	0.6411296	7.038768
1464	-8114.03	-8373.774	259.744	0.9089664	1.548172	0.6155571	6.712851
1470	-8123.939	-8380.389	256.4503	0.6925252	1.704432	0.5398566	8.594124
1476	-8118.94	-8376.167	257.2271	0.74757	2.032341	0.5574129	8.028947
1482	-8112.339	-8370.822	258.4823	0.7322043	1.992713	0.5869806	7.354475
1488	-8113.737	-8372.321	258.5837	0.7857553	1.742788	0.5869806	7.354475
1494	-8130.52	-8389.228	258.7087	0.7833667	1.742788	0.5080284	7.354475
1500	-8119.526	-8376.668	257.1427	0.7724714	1.742788	0.5751995	8.141188
1506	-8118.407	-8375.33	256.923	0.7643855	1.627554	0.6779429	8.226411
1512	-8117.555	-8374.624	257.0682	0.8186835	1.503499	0.5980046	8.226411
1518	-8116.629	-8374.817	258.1877	0.7343919	1.536255	0.6059481	7.655141
1524	-8118.111	-8374.293	256.1823	0.767544	1.944343	0.4968904	8.652945
1530	-8119.853	-8376.528	256.6754	0.767544	1.60457	0.4980332	8.506654
1536	-8124.379	-8380.824	256.4446	0.7685854	1.827352	0.4980332	8.550334
1542	-8125.908	-8383.174	257.2663	0.8005103	1.516325	0.5430836	8.169704
1548	-8113.088	-8371.854	258.7661	0.8348452	1.504268	0.5699439	7.33238
1554	-8123.731	-8381.959	258.2282	0.8055842	1.563064	0.5883992	7.598844
1560	-8122.179	-8380.749	258.5704	0.8191374	1.563064	0.612224	7.389669
1566	-8130.336	-8389.65	259.3145	0.8019803	1.560654	0.612224	6.999985
1572	-8114.425	-8371.778	257.3529	0.8173672	1.538573	0.612224	8.050939
1578	-8111.447	-8368.361	256.9137	0.7236864	1.724838	0.612224	8.26645
1584	-8112.102	-8369.674	257.5718	0.7236821	1.773733	0.4929598	7.997044
1590	-8119.318	-8376.893	257.5754	0.8581215	1.749035	0.4929598	7.931902
1596	-8114.29	-8371.151	256.8605	0.8411337	1.579688	0.4929598	8.382918
1602	-8104.748	-8362.364	257.6161	0.7779892	1.645389	0.5510755	7.940116
1608	-8107.219	-8365.458	258.2392	0.8789907	1.590166	0.4781939	7.636795
1614	-8111.27	-8370.45	259.1802	0.8931988	1.469889	0.5800507	7.084029
1620	-8108.362	-8366.346	257.9843	0.8945238	1.493723	0.5800507	7.715171
1626	-8105.255	-8363.864	258.6088	0.7867808	1.539858	0.5536623	7.441931
1632	-8131.732	-8387.659	255.9272	0.7088052	1.539858	0.6684881	8.824427
1638	-8108.969	-8367.466	258.4976	0.8553109	1.63429	0.6161993	7.379578
1644	-8122.608	-8381.539	258.9306	0.8352937	1.63429	0.6161993	7.157807
1650	-8120.944	-8379.691	258.7468	0.8126201	1.957158	0.6161993	7.157807
1656	-8110.749	-8369.886	259.1368	0.8602201	1.576309	0.6161993	7.055248
1662	-8108.631	-8366.499	257.8688	0.8420668	1.628483	0.5553018	7.773648
1668	-8109.752	-8368.313	258.5605	0.8420668	1.73337	0.5553018	7.365576
1674	-8113.747	-8372.195	258.4481	0.8652906	1.511433	0.5720683	7.482051
1680	-8126.291	-8382.602	256.3113	0.7988765	1.553913	0.5720683	8.640242
1686	-8115.652	-8372.724	257.0727	0.7722488	1.577535	0.5805058	8.234127
1692	-8125.982	-8384.852	258.8697	0.9221973	1.744139	0.5805058	7.132228
1698	-8129.192	-8388.121	258.929	0.8082642	1.473096	0.5657741	7.274937
1704	-8125.513	-8384.232	258.7184	0.9032982	1.758416	0.5657741	7.230606
1710	-8127.539	-8385.844	258.3042	0.8667986	1.758416	0.5376108	7.495724
1716	-8127.638	-8385.916	258.2774	0.7876251	1.376868	0.5721198	7.66946
1722	-8134.686	-8392.348	257.6622	0.7173382	1.585702	0.6075431	7.92501
1728	-8129.943	-8387.405	257.462	0.8079377	1.555256	0.6440696	7.967471
1734	-8128.68	-8387.513	258.8328	0.7298462	1.344752	0.6810359	7.334104
1740	-8113.536	-8372.301	258.7646	0.7428903	1.552384	0.5502717	7.379919
1746	-8122.309	-8382.051	259.7424	0.8964533	1.570241	0.5502717	6.764345
1752	-8117.513	-8376.96	259.4469	0.8798936	1.634038	0.5502717	6.908657
1758	-8122.177	-8380.995	258.8174	0.8566679	1.627029	0.5495924	7.263001
1764	-8136.734	-8395.677	258.9431	0.8464326	1.338847	0.5545063	7.311789
1770	-8135.244	-8393.63	258.3868	0.834765	1.627029	0.6784521	7.406678
1776	-8136.515	-8395.185	258.6702	0.8869605	1.627029	0.6784521	7.226621
1782	-8155.609	-8415.157	259.5486	0.7935842	1.701565	0.6020933	6.833941
1788	-8143.27	-8402.832	259.5625	0.8043197	1.701565	0.6675586	6.771282
1794	-8134.205	-8393.269	259.0631	0.8769687	1.352596	0.6202549	7.172898
1800	-8139.137	-8395.987	256.8497	0.8370629	1.55461	0.5682009	8.336783
1806	-8131.975	-8391.281	259.3065	0.84591	1.868143	0.5682009	6.905685
1812	-8122.821	-8382.02	259.199	0.7991638	1.678132	0.5410408	7.077216
1818	-8130.671	-8388.74	258.0698	0.9047941	1.678132	0.5410408	7.626398
1824	-8126.7	-8385.423	258.7222	0.794058	1.45509	0.6244304	7.354723
1830	-8116.471	-8374.524	258.0534	0.7566712	1.579139	0.6244304	7.684605
1836	-8118.759	-8375.076	256.3177	0.7259469	1.605591	0.6252379	8.615099
1842	-8111.805	-8370.017	258.2125	0.8216579	1.717433	0.6661237	7.483306
1848	-8109.265	-8367.359	258.0944	0.9248605	1.770328	0.5444821	7.567098
1854	-8103.522	-8361.318	257.7958	0.8102869	1.55714	0.5580607	7.854085
1860	-8100.056	-8359.702	259.6458	0.8556971	1.628934	0.5608659	6.807568
1866	-8101.226	-8360.669	259.4432	0.8876747	1.726496	0.6327373	6.807568
1872	-8101.555	-8359.706	258.1512	0.8460601	1.589788	0.6037789	7.596266
1878	-8100.95	-8359.469	258.5186	0.8259615	1.627166	0.4861276	7.494644
1884	-8107.027	-8365.749	258.7218	0.8548984	1.56041	0.6066172	7.294616
1890	-8129.592	-8389.694	260.1018	0.9568817	1.56041	0.6011623	6.499876
1896	-8147.812	-8405.906	258.0946	0.8021758	1.461559	0.6284633	7.680869
1902	-8133.192	-8391.012	257.8199	0.7225819	1.529245	0.6303647	7.842188
1908	-8125.278	-8383.541	258.2631	0.8739992	1.529245	0.665129	7.498536
1914	-8120.914	-8379.338	258.4239	0.8020309	1.424791	0.6569269	7.498536
1920	-8126.106	-8385.271	259.165	0.7712929	1.471512	0.6569269	7.098287
1926	-8110.169	-8367.892	257.7228	0.7794558	1.748502	0.5472394	7.848807
1932	-8110.205	-8368.798	258.5927	0.8653132	1.465056	0.5762579	7.419522
1938	-8110.905	-8369.872	258.9668	0.8607222	1.516909	0.5257413	7.242594
1944	-8111.935	-8370.848	258.9126	0.8012725	1.516909	0.6318739	7.218491
1950	-8111.704	-8370.524	258.8199	0.8125804	1.516909	0.5191452	7.352985
1956	-8110.469	-8369.521	259.0515	0.888075	1.805334	0.5191452	7.082673
1962	-8112.455	-8370.053	257.598	0.8738603	1.744689	0.5035338	7.903628
1968	-8106.143	-8364.917	258.7736	0.8324023	1.435302	0.630603	7.30995
1974	-8131.252	-8389.657	258.4048	0.8802729	1.415377	0.6018452	7.512174
1980	-8123.951	-8382.124	258.173	0.8426476	1.415377	0.6189339	7.64323
1986	-8135.674	-8396.089	260.4148	0.9531517	1.613929	0.6189339	6.297858
1992	-8134.503	-8394.279	259.7752	0.842949	1.424235	0.6500489	6.755089
1998	-8138.125	-8398.075	259.95	0.8874469	1.438505	0.4958165	6.756404
2004	-8144.192	-8402.252	258.0604	0.7543174	1.438505	0.576381	7.77443
